id	KSGS1	KSGS2	KSGS5	KSGS6	KSGS1_GB	KSGS2_GB	KSGS5_GB	KSGS6_GB	TR_young	TR_old	TR_young_log	TR_old_log
Aldh1l1	1	1	1	1	3768	17239	14939	11823	9.52063597848336E-005	7.47328301322771E-005	-4.0213340398	-4.1264885707
Osgin1	11	9	11	2	36143	23145	93549	21133	0.0003373364	0.0001133569	-3.4719368046	-3.9455519059
Serpina3m	1	1	1	1	3523	11686	6133	6789	0.0001315011	0.0001547748	-3.8810706642	-3.810299741
RP23-456L15.4	6	7	4	2	21413	14116	15955	21899	0.0003658983	0.0001585037	-3.4366396317	-3.7999605274
Atp11c	1	2	2	1	9541	12131	11263	7456	0.0001384275	0.000160265	-3.8587777373	-3.7951613896
Ubr4	1	1	1	1	4341	4574	5834	3685	0.000224341	0.0002101061	-3.6490913518	-3.6775613312
Cntnap2	5	7	3	3	15691	11631	11966	15625	0.0004392065	0.0002174622	-3.357331241	-3.6626161908
Cyp2c29	1	1	1	1	6899	5346	6171	2941	0.000163332	0.0002194908	-3.7869287938	-3.6585837154
Lrp1b	4	2	1	5	14152	9929	11389	14516	0.0002491591	0.0002316155	-3.6035232673	-3.6352323462
Selenop	5	1	7	4	23284	31283	27439	15313	0.0001099566	0.0002572979	-3.9587788273	-3.5895637513
Msra	4	6	2	1	6165	7518	5759	5642	0.0007308339	0.0002631348	-3.136181327	-3.579821691
Ptprd	7	9	2	9	23988	22914	16935	21921	0.0003411368	0.0002830966	-3.4670713797	-3.5480654053
Dmd	1	2	2	3	9714	7352	7915	8686	0.0001757881	0.0003011867	-3.7550104866	-3.5211642452
Fam117b	2	2	1	2	6133	5811	5571	4211	0.0003348962	0.0003066857	-3.4750898034	-3.5133064038
Lrrc4c	2	3	1	5	9221	6612	7262	9318	0.0003157961	0.0003618818	-3.5005932074	-3.4414332758
RP24-325F22.1	1	1	1	1	2875	2192	2217	3179	0.0003947109	0.0003706449	-3.4037209086	-3.4310419453
Alas1	7	9	7	14	19257	46429	21232	32316	0.0002435831	0.0003921715	-3.6133528333	-3.40652396
